date,tavg,tmin,tmax,prcp,snow,wdir,wspd,wpgt,pres,tsun
2025-01-01 00:00:00,26.8,25.5,30.2,0.5,,,13.4,,1010.5,
2025-01-02 00:00:00,27.9,24.3,30.8,0,,,11.2,,1010,
2025-01-03 00:00:00,27.1,24.3,30.1,0,,,8.6,,1009.9,
2025-01-04 00:00:00,27.4,24.6,31,0.5,,,11.2,,1009.9,
2025-01-05 00:00:00,25.8,24,30,0,,,16.8,,1011.2,
2025-01-06 00:00:00,25.9,22.2,30.6,3.5,,,12.6,,1011.2,
2025-01-07 00:00:00,26.2,22,29,0,,,16.5,,1011.3,
2025-01-08 00:00:00,26.5,22.8,30.2,0,,,16.2,,1011.9,
2025-01-09 00:00:00,26.7,23.6,29.2,0,,,15.7,,1012.9,
2025-01-10 00:00:00,26.4,23.3,29.6,0,,,15.3,,1014.5,
2025-01-11 00:00:00,26.3,23.8,29.5,1.4,,,21.2,,1014.6,
2025-01-12 00:00:00,26.1,23.3,29.6,0,,,25.6,,1014.1,
2025-01-13 00:00:00,26.3,23.4,28.8,0.3,,,18.7,,1013.6,
2025-01-14 00:00:00,26.6,23.6,30.2,0,,,15,,1014.2,
2025-01-15 00:00:00,27,23.6,31.1,0,,,13.8,,1013.6,
2025-01-16 00:00:00,26.7,22.8,32.7,0,,,19.2,,1012.7,
2025-01-17 00:00:00,27.5,22.6,32.3,0,,,16.9,,1012.1,
2025-01-18 00:00:00,27,24.6,31.2,0,,,14.6,,1010.9,
2025-01-19 00:00:00,27.6,23,30.8,0,,,11.1,,1009.1,
2025-01-20 00:00:00,27,23.9,30.2,0,,,10.8,,1009,
2025-01-21 00:00:00,27.1,24.5,31,0,,,14.1,,1010.5,
2025-01-22 00:00:00,26.7,24.7,30.2,0,,,17.4,,1011.8,
2025-01-23 00:00:00,27.1,22.2,31,0.3,,,14.4,,1011.2,
2025-01-24 00:00:00,27.3,22.3,31.6,1.3,,,13.4,,1010.1,
2025-01-25 00:00:00,27.6,22.2,32.6,0,,,13,,1009.7,
2025-01-26 00:00:00,26.2,25,31,0,,,14.8,,1010.1,
2025-01-27 00:00:00,25.1,23.5,30.7,0,,,13.1,,1010.7,
2025-01-28 00:00:00,25.2,20.4,29.8,0,,,16,,1013.2,
2025-01-29 00:00:00,26.2,21.9,29.4,0,,,20.1,,1014.1,
2025-01-30 00:00:00,26.4,23.4,29.8,6.5,,,24.8,,1012.1,
2025-01-31 00:00:00,27.7,22.9,31.8,0,,,15.4,,1010.4,
2025-02-01 00:00:00,28.3,23.7,33.4,0.5,,,12.6,,1009.6,
2025-02-02 00:00:00,28.9,22.3,33,0,,,13.6,,1009.3,
2025-02-03 00:00:00,28.1,23.9,32.9,0,,,13.6,,1010.2,
2025-02-04 00:00:00,26.6,24.4,29.4,0.5,,,12,,1011,
2025-02-05 00:00:00,26.5,24.6,30.8,0,,,18.3,,1010.8,
2025-02-06 00:00:00,26.9,23.1,30.4,5.7,,,16.9,,1010.9,
2025-02-07 00:00:00,26.9,24.3,29.8,0,,,13.9,,1010.4,
2025-02-08 00:00:00,26.5,24,30,1.8,,,22.5,,1010.3,
2025-02-09 00:00:00,26.1,23.5,28.9,0.8,,,22.8,,1011.6,
2025-02-10 00:00:00,26.4,23.9,28.9,0,,,17.3,,1012.7,
2025-02-11 00:00:00,27.3,23.3,31.4,4.8,,,17.2,,1013.2,
2025-02-12 00:00:00,28.3,23.8,33.6,0,,,17.9,,1013.3,
2025-02-13 00:00:00,26.3,23.8,30.9,0,,,8.8,,1013.2,
